run,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,Q_acc_test_max,Q_auroc_test_max,Q_auprc_test_max,Q_gap_acc_max,Q_gap_auroc_max,Q_gap_auprc_max,Q_hinge_gap_min
1,0,5,3,1,0.0,155,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1,1,5,3,1,0.1,155,0.82,0.76,0.05999999999999994,0.9072,0.8474666666666666,0.059733333333333416,0.8944131365581075,0.8651472927064291,0.029265843851678408,0.123295858352298,0.7733333333333333,0.8503111111111111,0.8667520581066571,0.15333333333333332,0.13635555555555545,0.13622224394163063,0.11472234642656598
1,2,5,3,1,0.2,155,0.8,0.7133333333333334,0.08666666666666667,0.9136,0.8097777777777778,0.10382222222222215,0.9060567946710648,0.8331109507327834,0.07294584393828141,0.25807941908466,0.8133333333333334,0.8803555555555556,0.8665518335625502,0.16000000000000003,0.13635555555555545,0.11558970142655367,0.01236549142159471
1,3,5,3,1,0.3,155,0.82,0.72,0.09999999999999998,0.9152,0.8161777777777778,0.09902222222222223,0.905870337442654,0.8386040579554178,0.06726627948723618,0.2624522469089199,0.8,0.8872888888888889,0.8828088878055813,0.14,0.1386666666666666,0.113463833715017,0.20842984789509794
1,4,5,3,1,0.4,155,0.8,0.7466666666666667,0.053333333333333344,0.9168000000000001,0.8288000000000001,0.08799999999999997,0.9060123516233574,0.851217371811445,0.05479497981191239,0.2532453741842647,0.7666666666666667,0.8755555555555556,0.8744630850503182,0.17999999999999994,0.13902222222222227,0.10989528122730963,0.2665618516407726
1,5,5,3,1,0.5,155,0.82,0.7333333333333333,0.08666666666666667,0.9136,0.8273777777777779,0.08622222222222209,0.9003504880524834,0.8493730585271783,0.05097742952530515,0.2562470811948842,0.7933333333333333,0.8878222222222222,0.882437782535985,0.14,0.12551111111111102,0.12205405100861977,0.215580318005633
1,6,5,3,1,0.6,155,0.84,0.74,0.09999999999999998,0.92,0.8256,0.09440000000000004,0.9067659561229305,0.8472504247798975,0.059515531343033,0.27733031098416727,0.7733333333333333,0.864,0.873692119746487,0.14,0.1763555555555555,0.14491741892011234,0.13975891492093567
1,7,5,3,1,0.7,155,0.86,0.7466666666666667,0.11333333333333329,0.9264000000000001,0.8195555555555556,0.10684444444444452,0.9164451769021513,0.8388885650843452,0.07755661181780615,0.3074829752286178,0.8,0.8741333333333333,0.8699330423148564,0.1333333333333333,0.12355555555555553,0.09537626795011245,0.3482154530413784
1,8,5,3,1,0.8,155,0.88,0.7333333333333333,0.14666666666666672,0.9296,0.8076444444444444,0.1219555555555556,0.9214811118237369,0.824087673707383,0.09739343811635393,0.3567822861439892,0.7666666666666667,0.8366222222222222,0.8389313414958061,0.16666666666666663,0.1287111111111111,0.12677699115670193,0.27824954689011644
1,9,5,3,1,0.9,155,0.86,0.72,0.14,0.9424,0.8055111111111111,0.13688888888888895,0.9379311021498882,0.8193821896355247,0.1185489125143635,0.39767287505216464,0.8,0.8748444444444444,0.8607635710279722,0.16000000000000003,0.13386666666666658,0.11719148673647573,0.16259533723121855
1,10,5,3,1,1.0,155,0.86,0.6933333333333334,0.16666666666666663,0.9456,0.7950222222222222,0.1505777777777778,0.9393575135776053,0.8081157988726605,0.13124171470494483,0.4642457826740942,0.7666666666666667,0.8716444444444444,0.8600047371212252,0.16666666666666663,0.14702222222222217,0.13879434456836426,0.4235671248003117
1,11,5,3,1,1.1,155,0.86,0.68,0.17999999999999994,0.9552,0.7875555555555556,0.16764444444444448,0.952141730546679,0.7955825499292617,0.15655918061741736,0.5157121362978211,0.7866666666666666,0.8899555555555556,0.8824889718463785,0.17333333333333334,0.1903999999999999,0.15563908553063022,0.23915642606677456
1,12,5,3,1,1.2,155,0.86,0.66,0.19999999999999996,0.9600000000000001,0.7857777777777778,0.17422222222222228,0.9549839607802136,0.7928367965357841,0.16214716424442954,0.5692346179311265,0.7466666666666667,0.8460444444444445,0.8557597753710489,0.19999999999999996,0.17671111111111104,0.1452648485007476,0.2119195761315537
1,13,5,3,1,1.3,155,0.86,0.6666666666666666,0.19333333333333336,0.9600000000000001,0.7832888888888889,0.17671111111111115,0.9549839607802136,0.7888214159008193,0.1661625448793943,0.6061989428745478,0.8,0.8919111111111111,0.876145625912738,0.17333333333333334,0.1683555555555557,0.1707110835986012,0.33029058293428715
1,14,5,3,1,1.4,155,0.9,0.6733333333333333,0.22666666666666668,0.9616,0.7815111111111112,0.18008888888888885,0.9565781636787644,0.7856211709006022,0.17095699277816212,0.6411964685892073,0.7866666666666666,0.8743111111111111,0.8555517438464094,0.18666666666666665,0.18133333333333335,0.1524984847533355,0.3531856902543005
1,15,5,3,1,1.5,155,0.92,0.6666666666666666,0.2533333333333334,0.9696,0.7786666666666666,0.1909333333333334,0.9643093281331672,0.7837847045143732,0.18052462361879396,0.6908509956810527,0.7866666666666666,0.8721777777777777,0.8811567960520119,0.17999999999999994,0.2129777777777777,0.2199029244624826,0.4147854978809397
1,16,5,3,1,1.6,155,0.94,0.6466666666666666,0.29333333333333333,0.9568,0.7740444444444445,0.18275555555555545,0.9474856945420682,0.7810669121955274,0.16641878234654084,0.7559554780766102,0.7733333333333333,0.8392888888888889,0.8335825346948489,0.18666666666666665,0.19111111111111112,0.17149421724281189,0.37014035174145427
1,17,5,3,1,1.7,155,0.94,0.6466666666666666,0.29333333333333333,0.96,0.7731555555555555,0.18684444444444448,0.952295218351592,0.7794105764469828,0.17288464190460928,0.7732937471999346,0.7866666666666666,0.8618666666666668,0.8720335739883556,0.19333333333333336,0.19004444444444457,0.18040372644570368,0.3171557553735654
1,18,5,3,1,1.8,155,0.94,0.6466666666666666,0.29333333333333333,0.9760000000000001,0.7742222222222223,0.20177777777777783,0.9714509465791334,0.7797008234182585,0.19175012316087492,0.7754445474147119,0.7666666666666667,0.8433777777777779,0.8524759658440653,0.2333333333333334,0.19253333333333333,0.20515985176518414,0.39300917008463054
1,19,5,3,1,1.9,155,0.94,0.6666666666666666,0.2733333333333333,0.9776,0.7735111111111111,0.20408888888888888,0.9729842799124668,0.7778910162169755,0.1950932636954913,0.7798258680362053,0.7733333333333333,0.8575999999999999,0.8575634450870946,0.17999999999999994,0.1964444444444443,0.20227619110696782,0.4767583724134034
1,20,5,3,1,2.0,155,0.92,0.66,0.26,0.976,0.7735111111111113,0.20248888888888872,0.9716615285897156,0.7785813692003366,0.19308015938937895,0.7845887284606263,0.8,0.8714666666666666,0.8866234971345768,0.17333333333333334,0.1763555555555555,0.18182546766481233,0.40207915280224593
1,21,5,3,1,2.1,155,0.92,0.6533333333333333,0.2666666666666667,0.9776,0.7731555555555556,0.20444444444444443,0.9743281952563823,0.7777941340928758,0.19653406116350647,0.7889994480836762,0.8,0.8712888888888889,0.875833099597163,0.21999999999999997,0.1948444444444445,0.18436032003924263,0.4340600871585214
1,22,5,3,1,2.2,155,0.94,0.6533333333333333,0.2866666666666666,0.9776,0.7724444444444445,0.20515555555555554,0.9743281952563823,0.7764309670972764,0.19789722815910582,0.7880702393696377,0.7733333333333333,0.8456888888888889,0.8621757874124039,0.21333333333333326,0.24906666666666666,0.22387968931633462,0.4568289394455547
1,23,5,3,1,2.3,155,0.94,0.6533333333333333,0.2866666666666666,0.9776,0.7717333333333334,0.20586666666666664,0.9743281952563823,0.7760223567936418,0.1983058384627404,0.7859711945997271,0.7466666666666667,0.8256000000000001,0.8328681303207542,0.2466666666666667,0.21528888888888897,0.19974668228115888,0.3639531269255927
1,24,5,3,1,2.4,155,0.94,0.6666666666666666,0.2733333333333333,0.9776,0.7733333333333333,0.2042666666666667,0.9743281952563823,0.7785471050505056,0.19578109020587664,0.7836680502757103,0.74,0.8179555555555555,0.8138343469283393,0.21333333333333337,0.20604444444444447,0.1998400526613907,0.5213322385460888
1,25,5,3,1,2.5,155,0.94,0.6666666666666666,0.2733333333333333,0.9792,0.7745777777777777,0.20462222222222226,0.9768281952563822,0.7798638046385711,0.19696439061781112,0.781462879954302,0.7866666666666666,0.8657777777777778,0.8654165365292223,0.28666666666666674,0.20479999999999987,0.2034769931225182,0.6163908712737489
1,26,5,3,1,2.6,155,0.94,0.6666666666666666,0.2733333333333333,0.9792,0.7738666666666667,0.20533333333333326,0.9768281952563822,0.7805177820736183,0.19631041318276388,0.7947014221483281,0.76,0.8586666666666667,0.864287666113155,0.2333333333333334,0.21457777777777765,0.21872326510631057,0.5294884371998252
1,27,5,3,1,2.7,155,0.94,0.68,0.2599999999999999,0.992,0.7726222222222221,0.2193777777777779,0.9922934472934474,0.7793405871965733,0.21295286009687409,0.8102282479382797,0.7733333333333333,0.8592,0.8629401946145634,0.2533333333333334,0.204088888888889,0.22496414816861565,0.5008360986352319
1,28,5,3,1,2.8,155,0.94,0.6666666666666666,0.2733333333333333,0.992,0.7708444444444444,0.22115555555555555,0.9922934472934474,0.7786876362158485,0.2136058110775989,0.8266219041831475,0.7733333333333333,0.8645333333333334,0.8743567959283913,0.2333333333333334,0.2001777777777778,0.2032134990939396,0.4694680974143602
1,29,5,3,1,2.9,155,0.94,0.68,0.2599999999999999,0.992,0.7696,0.22240000000000004,0.9922934472934474,0.7754427327360466,0.2168507145574008,0.8437833857514824,0.76,0.8330666666666667,0.8416016875956303,0.2466666666666667,0.2095999999999998,0.24709307881614895,0.7117139519836582
2,0,5,3,1,0.0,155,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2,1,5,3,1,0.1,155,0.82,0.76,0.05999999999999994,0.9072,0.8474666666666666,0.059733333333333416,0.8944131365581075,0.8651472927064291,0.029265843851678408,0.123295858352298,0.7333333333333333,0.7870222222222222,0.7794813734768657,0.1266666666666667,0.1319111111111111,0.13371615326421793,0.15580194084691668
2,2,5,3,1,0.2,155,0.8,0.7133333333333334,0.08666666666666667,0.9136,0.8097777777777778,0.10382222222222215,0.9060567946710648,0.8331109507327834,0.07294584393828141,0.25807941908466,0.82,0.8942222222222223,0.8847806158193017,0.12,0.14044444444444437,0.11137349841921385,0.10209260162773615
2,3,5,3,1,0.3,155,0.82,0.72,0.09999999999999998,0.9152,0.8161777777777778,0.09902222222222223,0.905870337442654,0.8386040579554178,0.06726627948723618,0.2624522469089199,0.8,0.8664888888888889,0.8650360616102217,0.1266666666666666,0.12231111111111115,0.11042472688081095,0.19535000271353126
2,4,5,3,1,0.4,155,0.8,0.7466666666666667,0.053333333333333344,0.9168000000000001,0.8288000000000001,0.08799999999999997,0.9060123516233574,0.851217371811445,0.05479497981191239,0.2532453741842647,0.78,0.8691555555555556,0.8689021254323412,0.1266666666666667,0.1041777777777777,0.1014454185091358,0.17553242153876358
2,5,5,3,1,0.5,155,0.82,0.7333333333333333,0.08666666666666667,0.9136,0.8273777777777779,0.08622222222222209,0.9003504880524834,0.8493730585271783,0.05097742952530515,0.2562470811948842,0.78,0.8529777777777777,0.8525062260766355,0.17999999999999994,0.14151111111111114,0.14837432671946427,0.2189194526267133
2,6,5,3,1,0.6,155,0.84,0.74,0.09999999999999998,0.92,0.8256,0.09440000000000004,0.9067659561229305,0.8472504247798975,0.059515531343033,0.27733031098416727,0.78,0.8688,0.8601667960771364,0.11333333333333329,0.14400000000000002,0.12309908024572425,0.42393429898706875
2,7,5,3,1,0.7,155,0.86,0.7466666666666667,0.11333333333333329,0.9264000000000001,0.8195555555555556,0.10684444444444452,0.9164451769021513,0.8388885650843452,0.07755661181780615,0.3074829752286178,0.78,0.8611555555555556,0.8564397942410992,0.1466666666666666,0.14222222222222214,0.10070217379363888,0.2611832948411129
2,8,5,3,1,0.8,155,0.88,0.7333333333333333,0.14666666666666672,0.9296,0.8076444444444444,0.1219555555555556,0.9214811118237369,0.824087673707383,0.09739343811635393,0.3567822861439892,0.78,0.8563555555555555,0.8629505433479319,0.18666666666666665,0.14417777777777774,0.11746862601114683,0.29750070592031
2,9,5,3,1,0.9,155,0.86,0.72,0.14,0.9424,0.8055111111111111,0.13688888888888895,0.9379311021498882,0.8193821896355247,0.1185489125143635,0.39767287505216464,0.76,0.8405333333333334,0.8531073933347906,0.16000000000000003,0.16817777777777787,0.14239962298988562,0.2442000677624973
2,10,5,3,1,1.0,155,0.86,0.6933333333333334,0.16666666666666663,0.9456,0.7950222222222222,0.1505777777777778,0.9393575135776053,0.8081157988726605,0.13124171470494483,0.4642457826740942,0.7933333333333333,0.8762666666666666,0.8777459946624256,0.16666666666666663,0.1598222222222223,0.18144326007112122,0.223262739216522
