seed,run,split,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,C_J_w,C_J_xi
43,1,0,22,5,3,1,2.2,31,0.95,0.7266666666666667,0.22333333333333327,1.0,0.8135698723934018,0.18643012760659816,1.0,0.815042836324986,0.18495716367501402,0.5730286509122849,106.29666255602882,2.917276366356448
43,1,0,23,5,3,1,2.3,31,0.95,0.72,0.22999999999999998,1.0,0.8097461206704902,0.19025387932950977,1.0,0.8119982987163192,0.18800170128368077,0.591394005392392,108.081223997233,2.6738407194947644
43,1,0,24,5,3,1,2.4,31,0.95,0.72,0.22999999999999998,1.0,0.8042772664621404,0.19572273353785963,1.0,0.8092426403574626,0.19075735964253737,0.607636370042404,105.58978396704154,2.572706008787109
43,1,0,25,5,3,1,2.5,31,0.95,0.7166666666666667,0.23333333333333328,1.0,0.7979191676670668,0.20208083233293317,1.0,0.8035023314766476,0.19649766852335238,0.6206903692266316,102.09794986607697,2.514095262534299
43,1,0,26,5,3,1,2.6,31,0.95,0.7166666666666667,0.23333333333333328,1.0,0.7924503134587166,0.20754968654128336,1.0,0.7990096197545042,0.20099038024549576,0.6339073727634263,99.09970122186627,2.4493460505582023
43,1,0,27,5,3,1,2.7,31,0.95,0.7133333333333334,0.23666666666666658,1.0,0.7912053710373038,0.20879462896269618,1.0,0.7969801921425025,0.20301980785749751,0.6347241723009425,95.17628126331937,2.4244627618643806
43,1,0,28,5,3,1,2.8,31,0.95,0.7133333333333334,0.23666666666666658,1.0,0.7892045707171758,0.21079542928282424,1.0,0.7939576037113268,0.20604239628867316,0.634423562224552,91.53532782123,2.4014422702317684
43,1,0,29,5,3,1,2.9,31,0.95,0.71,0.24,1.0,0.788537637277133,0.211462362722867,1.0,0.7926994520478627,0.20730054795213726,0.6343176872492462,88.25531046157387,2.376195729601113
43,1,1,0,5,3,1,0.0,31,0.55,0.51,0.040000000000000036,0.5,0.5,0.0,0.55,0.51,0.040000000000000036,0.07999999468265506,1.8175355256292112e-27,36.00000026586724
43,1,1,1,5,3,1,0.1,31,0.875,0.68,0.19499999999999995,0.8914141414141414,0.8344226579520698,0.05699148346207161,0.8856146052142394,0.8395256815520411,0.0460889236621983,0.259850172881216,155.7732944175683,17.11609482772951
