run,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,C_J_w,C_J_xi,Q_acc_test_max,Q_auroc_test_max,Q_auprc_test_max,Q_acc_train_max,Q_auroc_train_max,Q_auprc_train_max,Q_gap_acc_max,Q_gap_auroc_max,Q_gap_auprc_max,Q_hinge_gap_min,Q_J_w_max,Q_J_w_min,Q_J_w_mean,Q_J_xi_max,Q_J_xi_min,Q_J_xi_mean
1,10,5,3,1,1.0,31,0.94,0.8,0.1399999999999999,0.9792,0.8856888888888889,0.0935111111111111,0.9730285615567484,0.850738510602184,0.12229005095456447,0.2814507240963103,124.71810226269153,9.457329041394205,0.84,0.9114666666666666,0.9056297611731998,0.92,0.9743999999999999,0.9725119559401428,0.17999999999999994,0.1466666666666665,0.2168758716342225,0.43629890234268753,479.35754820198304,249.39051203511502,380.124709730771,31.29475803066474,11.537024344885982,19.160466741229463
1,11,5,3,1,1.1,31,0.92,0.8,0.12,0.9792,0.8871111111111111,0.09208888888888889,0.9730285615567484,0.8526020327421364,0.12042652881461202,0.28360635914711596,126.50904534724759,9.233637894482877,0.8333333333333334,0.9091555555555556,0.8950782400057896,0.94,0.984,0.9842858474858476,0.16000000000000003,0.17155555555555546,0.261131728967229,0.40010480046782565,504.56570205467574,260.93766507286523,384.4187868505093,43.576901808693506,9.83511161867475,17.870837235583032
1,12,5,3,1,1.2,31,0.92,0.8,0.12,0.9792,0.8846222222222223,0.09457777777777765,0.9730285615567484,0.8492694788533237,0.12375908270342473,0.28566036203891254,118.29981224761431,9.220003327531149,0.8466666666666667,0.9098666666666667,0.8861176825974101,0.94,0.9808,0.9783051183333052,0.19999999999999996,0.21120000000000005,0.2849786102583659,0.2921924121394812,462.9234016548175,204.99504596343962,362.30503058193085,27.870803099166032,9.873070117993318,18.832660204312898
1,13,5,3,1,1.3,31,0.92,0.7933333333333333,0.1266666666666667,0.9808,0.8856888888888889,0.09511111111111115,0.9758857044138913,0.8435994545730868,0.1322862498408045,0.292414065555887,118.94212918613239,8.822718594826604,0.8266666666666667,0.9013333333333333,0.8992221672814509,0.92,0.9712000000000001,0.9681730586055933,0.17333333333333334,0.1651555555555555,0.26651502747630973,0.4734802275588794,448.3551146870747,252.5158507394956,369.1973207572092,58.14699751325938,10.969861261896302,20.45149311380886
1,14,5,3,1,1.4,31,0.94,0.8,0.1399999999999999,0.9808,0.8849777777777779,0.09582222222222214,0.9758857044138913,0.842262779968217,0.13362292444567436,0.3001153904168513,120.95412781910287,8.440379115367996,0.8133333333333334,0.8984888888888889,0.8986374434124647,0.92,0.9760000000000001,0.975266850718567,0.16000000000000003,0.16408888888888884,0.22413786956158765,0.4126692575600684,430.0562974188331,158.91404669024513,339.3291557259879,33.058455704058254,10.738296025493968,18.81042922829084
1,15,5,3,1,1.5,31,0.94,0.8,0.1399999999999999,0.9808,0.8833777777777778,0.09742222222222219,0.9758857044138913,0.8398925854237905,0.1359931189901008,0.3076483138485647,115.22847399186671,8.380810973885037,0.8266666666666667,0.9114666666666666,0.8980116715012145,0.94,0.9743999999999999,0.9723331376569767,0.19333333333333336,0.18737777777777775,0.2567321709182995,0.4312714699884318,404.17251031198623,225.1289310420437,336.8293788805146,39.3443026772633,11.022119429673012,17.64769788387931
1,16,5,3,1,1.6,31,0.94,0.8,0.1399999999999999,0.9808,0.8785777777777778,0.10222222222222221,0.9758857044138913,0.8348174596929117,0.14106824472097967,0.31890304074558784,110.5819572819053,8.289771775016389,0.7933333333333333,0.9009777777777778,0.9021873669896138,0.94,0.9744,0.9730259997820639,0.2333333333333334,0.20373333333333332,0.2838964718112673,0.48046128536806754,471.9331998391278,212.03521691636183,358.47337699964413,27.34057374495925,10.854024696493992,17.000426471544582
1,17,5,3,1,1.7,31,0.94,0.7933333333333333,0.1466666666666666,0.9808,0.8741333333333333,0.10666666666666669,0.9758857044138913,0.8287919435479508,0.1470937608659405,0.3319903799571792,106.94611507565918,8.165245783816175,0.8333333333333334,0.9036444444444444,0.9007292759658342,0.92,0.9728,0.9741656622324224,0.18000000000000005,0.17457777777777772,0.25827867034321594,0.5297415025277324,460.0411841536698,210.50096088398865,340.44737701537406,33.714900618204084,10.68391908457544,20.448842698383288
1,18,5,3,1,1.8,31,0.94,0.7933333333333333,0.1466666666666666,0.9792,0.8712888888888889,0.10791111111111107,0.9730285615567484,0.833111728624413,0.13991683293233548,0.3432652947744218,104.06377203041191,7.973678048235762,0.84,0.9072000000000001,0.8857909803947994,0.94,0.9696,0.9659391648190679,0.20666666666666667,0.1797333333333332,0.21418418586103238,0.5393418226116891,443.61156720246436,236.08307616110494,326.9296583907177,31.79595325960349,11.408745239094134,17.690387541218747
1,19,5,3,1,1.9,31,0.94,0.7866666666666666,0.15333333333333332,0.9792,0.8672000000000001,0.11199999999999988,0.9730285615567484,0.8323653687622186,0.14066319279452988,0.34909609638307865,102.01234217574859,7.967228486235931,0.8333333333333334,0.8984888888888889,0.8831792372467858,0.94,0.9743999999999999,0.9709755198272361,0.22000000000000008,0.2360888888888888,0.2870183357036892,0.4249418890487503,404.70378552973784,197.00216518391818,306.95864847626547,32.17707017584055,10.375170216291533,18.856965216007755
